algorithm,horizon,seed,final_value,trajectory,mean_final_value,std_final_value,mean_trajectory,std_trajectory
VI,50,0,542,"[0, np.int32(76), np.int32(76), np.int32(76), np.int32(76), np.int32(76), np.int32(164), np.int32(164), np.int32(164), np.int32(164), np.int32(164), np.int32(164), np.int32(164), np.int32(164), np.int32(164), np.int32(191), np.int32(191), np.int32(191), np.int32(241), np.int32(241), np.int32(241), np.int32(303), np.int32(303), np.int32(303), np.int32(303), np.int32(303), np.int32(303), np.int32(303), np.int32(303), np.int32(303), np.int32(303), np.int32(303), np.int32(368), np.int32(368), np.int32(368), np.int32(454), np.int32(454), np.int32(454), np.int32(542), np.int32(542), np.int32(542), np.int32(542), np.int32(542), np.int32(542), np.int32(542), np.int32(542), np.int32(542), np.int32(542), np.int32(542), np.int32(542)]",,,,
VI,50,1,867,"[0, 0, 0, 0, 0, 0, np.int32(76), np.int32(76), np.int32(76), np.int32(169), np.int32(169), np.int32(249), np.int32(324), np.int32(324), np.int32(324), np.int32(351), np.int32(351), np.int32(375), np.int32(375), np.int32(375), np.int32(408), np.int32(408), np.int32(454), np.int32(454), np.int32(454), np.int32(481), np.int32(481), np.int32(576), np.int32(576), np.int32(651), np.int32(651), np.int32(651), np.int32(651), np.int32(697), np.int32(785), np.int32(785), np.int32(785), np.int32(785), np.int32(785), np.int32(785), np.int32(785), np.int32(785), np.int32(785), np.int32(785), np.int32(785), np.int32(785), np.int32(867), np.int32(867), np.int32(867), np.int32(867)]",,,,
VI,50,2,782,"[0, 0, 0, 0, np.int32(34), np.int32(34), np.int32(34), np.int32(99), np.int32(99), np.int32(185), np.int32(185), np.int32(185), np.int32(236), np.int32(236), np.int32(236), np.int32(236), np.int32(236), np.int32(236), np.int32(286), np.int32(368), np.int32(368), np.int32(368), np.int32(368), np.int32(368), np.int32(368), np.int32(368), np.int32(368), np.int32(456), np.int32(456), np.int32(456), np.int32(456), np.int32(456), np.int32(456), np.int32(456), np.int32(456), np.int32(456), np.int32(544), np.int32(632), np.int32(632), np.int32(708), np.int32(763), np.int32(763), np.int32(763), np.int32(763), np.int32(763), np.int32(763), np.int32(763), np.int32(763), np.int32(763), np.int32(782)]",,,,
VI,50,3,775,"[0, 0, 0, 0, 0, np.int32(76), np.int32(76), np.int32(136), np.int32(228), np.int32(316), np.int32(316), np.int32(376), np.int32(376), np.int32(376), np.int32(433), np.int32(433), np.int32(433), np.int32(433), np.int32(433), np.int32(433), np.int32(433), np.int32(519), np.int32(519), np.int32(579), np.int32(579), np.int32(579), np.int32(579), np.int32(579), np.int32(586), np.int32(586), np.int32(586), np.int32(586), np.int32(586), np.int32(586), np.int32(586), np.int32(610), np.int32(610), np.int32(610), np.int32(610), np.int32(610), np.int32(610), np.int32(610), np.int32(610), np.int32(695), np.int32(695), np.int32(695), np.int32(695), np.int32(695), np.int32(775), np.int32(775)]",,,,
VI,50,4,815,"[0, 0, 0, 0, np.int32(99), np.int32(99), np.int32(99), np.int32(99), np.int32(99), np.int32(99), np.int32(99), np.int32(99), np.int32(99), np.int32(106), np.int32(106), np.int32(106), np.int32(140), np.int32(140), np.int32(226), np.int32(226), np.int32(276), np.int32(276), np.int32(361), np.int32(424), np.int32(424), np.int32(487), np.int32(487), np.int32(487), np.int32(487), np.int32(487), np.int32(537), np.int32(537), np.int32(537), np.int32(537), np.int32(537), np.int32(537), np.int32(556), np.int32(556), np.int32(556), np.int32(556), np.int32(636), np.int32(636), np.int32(718), np.int32(775), np.int32(782), np.int32(782), np.int32(782), np.int32(815)]",,,,
VI,50,ALL,,,756.2,111.92390271966039,"[0.0, 15.2, 15.2, 15.2, 41.8, 57.0, 89.8, 114.8, 133.2, 186.6, 186.6, 214.6, 239.8, 241.2, 252.6, 263.4, 270.2, 275.0, 312.2, 328.6, 345.2, 374.8, 401.0, 425.6, 425.6, 443.6, 443.6, 480.2, 481.6, 496.6, 506.6, 506.6, 519.6, 528.8, 546.4, 568.4, 589.8, 607.4, 625.0, 640.2, 667.2, 667.2, 683.6, 712.0, 713.4, 713.4, 729.8, 736.4, 752.4, 756.2]","[0.0, 30.400000000000002, 30.400000000000002, 30.400000000000002, 39.99199919983996, 35.3949148890063, 42.62581377522311, 31.22434947280728, 55.76163555707454, 71.05096762184172, 71.05096762184172, 93.84369984181144, 101.21738981024951, 99.29028149824131, 115.9820675794323, 115.93549930888295, 107.1697718575532, 111.14495040261613, 79.6527463431111, 81.00024691320391, 74.59061603177709, 85.85895410497382, 76.19186308261533, 92.40043289941882, 92.40043289941882, 97.05586020431738, 97.05586020431738, 100.96613293575227, 102.36522847139061, 119.20838896654882, 120.07764154912437, 120.07764154912437, 99.00020201999591, 112.05962698492263, 140.41737784191812, 122.76253500152234, 109.7203718550024, 108.00666646091805, 86.63024875873323, 92.96106711952052, 92.70900711365643, 92.70900711365643, 92.99161252500141, 90.6509790349779, 91.6615513724266, 91.6615513724266, 108.74814940954168, 112.64741452869657, 111.30426766301461, 111.92390271966039]"
PI,50,0,745,"[np.int32(33), np.int32(33), np.int32(33), np.int32(33), np.int32(33), np.int32(33), np.int32(33), np.int32(33), np.int32(33), np.int32(115), np.int32(115), np.int32(212), np.int32(212), np.int32(212), np.int32(212), np.int32(305), np.int32(305), np.int32(381), np.int32(414), np.int32(447), np.int32(447), np.int32(447), np.int32(447), np.int32(480), np.int32(573), np.int32(573), np.int32(573), np.int32(573), np.int32(573), np.int32(573), np.int32(573), np.int32(598), np.int32(598), np.int32(598), np.int32(598), np.int32(598), np.int32(650), np.int32(650), np.int32(650), np.int32(745), np.int32(745), np.int32(745), np.int32(745), np.int32(745), np.int32(745), np.int32(745), np.int32(745), np.int32(745), np.int32(745), np.int32(745)]",,,,
PI,50,1,694,"[0, 0, 0, 0, 0, np.int32(70), np.int32(169), np.int32(169), np.int32(169), np.int32(169), np.int32(169), np.int32(169), np.int32(193), np.int32(193), np.int32(193), np.int32(278), np.int32(278), np.int32(278), np.int32(278), np.int32(278), np.int32(371), np.int32(419), np.int32(499), np.int32(499), np.int32(499), np.int32(499), np.int32(499), np.int32(499), np.int32(499), np.int32(499), np.int32(499), np.int32(499), np.int32(499), np.int32(499), np.int32(499), np.int32(499), np.int32(499), np.int32(499), np.int32(506), np.int32(506), np.int32(506), np.int32(554), np.int32(609), np.int32(609), np.int32(694), np.int32(694), np.int32(694), np.int32(694), np.int32(694), np.int32(694)]",,,,
PI,50,2,643,"[0, np.int32(46), np.int32(46), np.int32(46), np.int32(46), np.int32(94), np.int32(94), np.int32(113), np.int32(113), np.int32(113), np.int32(206), np.int32(206), np.int32(271), np.int32(271), np.int32(271), np.int32(271), np.int32(271), np.int32(271), np.int32(271), np.int32(271), np.int32(271), np.int32(271), np.int32(271), np.int32(271), np.int32(271), np.int32(271), np.int32(296), np.int32(372), np.int32(405), np.int32(405), np.int32(405), np.int32(493), np.int32(493), np.int32(493), np.int32(493), np.int32(493), np.int32(493), np.int32(493), np.int32(550), np.int32(550), np.int32(550), np.int32(550), np.int32(550), np.int32(550), np.int32(550), np.int32(578), np.int32(578), np.int32(643), np.int32(643), np.int32(643)]",,,,
PI,50,3,798,"[0, 0, np.int32(93), np.int32(117), np.int32(150), np.int32(150), np.int32(150), np.int32(150), np.int32(150), np.int32(150), np.int32(245), np.int32(245), np.int32(245), np.int32(245), np.int32(245), np.int32(245), np.int32(327), np.int32(327), np.int32(327), np.int32(327), np.int32(327), np.int32(360), np.int32(360), np.int32(367), np.int32(367), np.int32(367), np.int32(367), np.int32(367), np.int32(367), np.int32(367), np.int32(367), np.int32(367), np.int32(367), np.int32(367), np.int32(452), np.int32(452), np.int32(532), np.int32(532), np.int32(532), np.int32(532), np.int32(545), np.int32(604), np.int32(699), np.int32(699), np.int32(699), np.int32(699), np.int32(699), np.int32(699), np.int32(699), np.int32(798)]",,,,
PI,50,4,421,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, np.int32(64), np.int32(64), np.int32(97), np.int32(97), np.int32(97), np.int32(97), np.int32(97), np.int32(97), np.int32(97), np.int32(97), np.int32(97), np.int32(97), np.int32(97), np.int32(97), np.int32(97), np.int32(104), np.int32(167), np.int32(167), np.int32(167), np.int32(167), np.int32(230), np.int32(230), np.int32(230), np.int32(230), np.int32(230), np.int32(230), np.int32(230), np.int32(230), np.int32(230), np.int32(264), np.int32(264), np.int32(264), np.int32(363), np.int32(363), np.int32(363), np.int32(363), np.int32(363), np.int32(363), np.int32(421), np.int32(421)]",,,,
PI,50,ALL,,,660.2,130.25728386543304,"[6.6, 15.8, 34.4, 39.2, 45.8, 69.4, 89.2, 93.0, 93.0, 109.4, 159.8, 179.2, 203.6, 203.6, 203.6, 239.2, 255.6, 270.8, 277.4, 284.0, 302.6, 318.8, 334.8, 342.8, 361.4, 362.8, 380.4, 395.6, 402.2, 402.2, 414.8, 437.4, 437.4, 437.4, 454.4, 454.4, 480.8, 480.8, 493.6, 519.4, 522.0, 543.4, 593.2, 593.2, 610.2, 615.8, 615.8, 628.8, 640.4, 660.2]","[13.199999999999998, 19.782820830205182, 34.45925129772845, 42.9203914241238, 55.16665659617229, 51.46493952196971, 65.11958230824273, 65.83919805100909, 65.83919805100909, 58.674014691343565, 64.28499047211565, 62.448058416575286, 59.67109853186884, 59.67109853186884, 59.67109853186884, 73.62173592085425, 81.7694319412823, 95.45763458204901, 103.63898880247723, 112.77588394687935, 117.80933749070996, 126.21632224082589, 141.9892953711652, 147.9059160412456, 168.4156762299757, 166.22683297229722, 144.22426980227704, 138.41618402484588, 137.91939675042084, 137.91939675042084, 117.17405856246509, 127.00330704355694, 127.00330704355694, 127.00330704355694, 122.03376581913713, 122.03376581913713, 137.5723809490844, 137.5723809490844, 140.53839333079057, 153.2313283894648, 153.5330583294686, 156.54724526480817, 133.6748293434482, 133.6748293434482, 139.86479185270323, 137.8889408183267, 137.8889408183267, 136.77192694409186, 114.36013291352893, 130.25728386543304]"
VI,10,0,251,"[np.int32(50), np.int32(107), np.int32(133), np.int32(133), np.int32(133), np.int32(133), np.int32(172), np.int32(172), np.int32(251), np.int32(251)]",,,,
VI,50,0,571,"[0, 0, np.int32(70), np.int32(70), np.int32(161), np.int32(161), np.int32(161), np.int32(161), np.int32(161), np.int32(231), np.int32(231), np.int32(231), np.int32(231), np.int32(313), np.int32(313), np.int32(313), np.int32(313), np.int32(313), np.int32(313), np.int32(313), np.int32(313), np.int32(313), np.int32(313), np.int32(313), np.int32(313), np.int32(313), np.int32(313), np.int32(313), np.int32(313), np.int32(313), np.int32(384), np.int32(384), np.int32(384), np.int32(384), np.int32(384), np.int32(384), np.int32(384), np.int32(384), np.int32(455), np.int32(455), np.int32(455), np.int32(455), np.int32(455), np.int32(455), np.int32(455), np.int32(455), np.int32(532), np.int32(532), np.int32(532), np.int32(571)]",,,,
